CustomerID,Product,Quantity,UnitPrice,Date,Channel,Total
C01347,Burger,3,5.92,2024-11-25,Online,17.76
C01123,Drink,2,1.35,2024-03-18,Online,2.7
C01767,Burger,5,4.2,2024-08-17,Online,21.0
C02155,Burger,3,5.18,2024-05-21,Online,15.54
C01148,Fries,1,2.49,2024-09-06,Online,2.49
C01594,Drink,5,1.67,2024-04-07,Online,8.35
C01762,Drink,1,1.44,2024-02-11,Online,1.44
C00097,Fries,2,1.97,2024-06-08,Online,3.94
C02162,Pizza,2,8.55,2024-02-26,Online,17.1
C00048,Chicken,3,7.23,2024-07-29,Online,21.69
C00074,Pizza,1,7.77,2024-03-10,Online,7.77
C01569,Fries,1,2.41,2024-04-06,In-Store,2.41
C00943,Chicken,3,7.72,2024-12-30,Online,23.16
C02273,Taco,1,2.79,2024-06-22,Online,2.79
C00112,Burger,2,5.1,2024-01-22,In-Store,10.2
C01364,Drink,3,1.36,2024-09-17,Online,4.08
C02469,Pizza,5,8.87,2024-05-23,In-Store,44.35
C01093,Taco,4,3.14,2024-04-04,In-Store,12.56
C01848,Chicken,4,7.27,2024-06-10,In-Store,29.08
C00452,Chicken,2,6.74,2024-08-16,In-Store,13.48
C02051,Burger,2,4.66,2024-03-24,Online,9.32
C02389,Chicken,5,6.84,2024-11-07,Online,34.2
C00040,Burger,2,5.18,2024-04-23,Online,10.36
C01347,Taco,2,3.5,2024-07-20,Online,7.0
C01584,Chicken,2,7.58,2024-08-14,In-Store,15.16
C01982,Chicken,2,7.38,2024-06-30,Online,14.76
C01160,Chicken,4,7.15,2024-12-18,Online,28.6
C01898,Fries,1,2.27,2024-10-26,In-Store,2.27
C00100,Burger,3,4.8,2024-11-07,In-Store,14.4
C02429,Burger,1,4.13,2024-01-21,Online,4.13
C01383,Burger,4,3.76,2024-02-04,Online,15.04
C00214,Chicken,3,7.57,2024-02-27,In-Store,22.71
C00863,Taco,5,3.21,2024-07-28,In-Store,16.05
C01436,Fries,4,2.28,2024-09-01,In-Store,9.12
C02339,Chicken,3,6.0,2024-05-17,Online,18.0
C02018,Chicken,5,6.52,2024-04-27,In-Store,32.6
C00589,Burger,4,4.42,2024-09-05,Online,17.68
C01705,Fries,1,2.03,2024-02-23,Online,2.03
C00107,Drink,3,1.58,2024-12-12,Online,4.74
C00838,Drink,2,1.54,2024-06-06,In-Store,3.08
C00844,Drink,1,1.48,2024-03-07,Online,1.48
C01443,Burger,1,4.39,2024-12-23,Online,4.39
C00827,Burger,2,4.59,2024-07-17,In-Store,9.18
C01419,Burger,5,4.98,2024-02-19,Online,24.9
C01742,Fries,1,2.14,2024-10-07,Online,2.14
C00147,Pizza,2,7.91,2024-03-01,In-Store,15.82
C00412,Taco,4,2.96,2024-09-01,In-Store,11.84
C01790,Fries,5,2.25,2024-01-15,Online,11.25
C02207,Dessert,2,2.98,2024-09-08,Online,5.96
C01390,Fries,1,1.83,2024-06-08,Online,1.83
C00372,Dessert,1,2.85,2024-02-27,In-Store,2.85
C00391,Pizza,4,7.05,2024-07-18,In-Store,28.2
C00256,Fries,4,1.78,2024-08-16,Online,7.12
C00360,Taco,4,4.0,2024-06-26,Online,16.0
C00951,Drink,5,1.5,2024-02-19,In-Store,7.5
C01992,Drink,3,1.52,2024-11-09,In-Store,4.56
C01154,Chicken,5,7.56,2024-12-21,Online,37.8
C00556,Drink,3,1.45,2024-04-10,In-Store,4.35
C01382,Chicken,3,6.72,2024-09-02,Online,20.16
C00696,Fries,2,1.91,2024-05-10,In-Store,3.82
C02483,Drink,1,1.51,2024-03-09,Online,1.51
C02005,Dessert,3,3.46,2024-01-21,Online,10.38
C01330,Taco,3,3.66,2024-04-03,In-Store,10.98
C00531,Chicken,1,6.44,2024-08-31,In-Store,6.44
C01538,Chicken,3,6.85,2024-11-30,In-Store,20.55
C02100,Chicken,2,6.52,2024-06-20,In-Store,13.04
C00941,Pizza,1,6.97,2024-07-18,Online,6.97
C01329,Fries,1,2.15,2024-12-13,Online,2.15
C02012,Burger,4,4.58,2024-07-16,Online,18.32
C01970,Taco,3,4.16,2024-08-03,In-Store,12.48
